10-000803bfb3ec, 2023-02-17 00:01:24,   3.94
10-000803bfc27a, 2023-02-17 00:01:24,   5.25
28-01144fd84eaa, 2023-02-17 00:01:24,  13.88
10-000803a52f34, 2023-02-17 00:01:24,   4.50
10-000803a51c74, 2023-02-17 00:01:24,   9.56
10-000803bfc80e, 2023-02-17 00:01:24,  -3.75
10-000803a2e2df, 2023-02-17 00:01:24, -13.38
10-000803a4ddd2, 2023-02-17 00:01:24,   3.06
10-000803a2eabb, 2023-02-17 00:01:24,   7.12
10-000803bfb3ec, 2023-02-17 00:06:32,   4.06
10-000803bfc27a, 2023-02-17 00:06:32,   5.50
28-01144fd84eaa, 2023-02-17 00:06:32,  14.81
10-000803a52f34, 2023-02-17 00:06:32,   4.50
10-000803a51c74, 2023-02-17 00:06:32,   7.38
10-000803bfc80e, 2023-02-17 00:06:32, -12.44
10-000803a2e2df, 2023-02-17 00:06:32, -10.50
10-000803a4ddd2, 2023-02-17 00:06:32,   3.06
10-000803a2eabb, 2023-02-17 00:06:32,   7.31
10-000803bfb3ec, 2023-02-17 00:11:40,   4.19
10-000803bfc27a, 2023-02-17 00:11:40,   6.06
28-01144fd84eaa, 2023-02-17 00:11:40,  15.06
10-000803a52f34, 2023-02-17 00:11:40,   4.50
10-000803a51c74, 2023-02-17 00:11:40,   8.44
10-000803bfc80e, 2023-02-17 00:11:40, -15.75
10-000803a2e2df, 2023-02-17 00:11:40, -15.50
10-000803a4ddd2, 2023-02-17 00:11:40,   3.06
10-000803a2eabb, 2023-02-17 00:11:40,   7.44
10-000803bfb3ec, 2023-02-17 00:16:48,   4.25
10-000803bfc27a, 2023-02-17 00:16:48,   6.31
28-01144fd84eaa, 2023-02-17 00:16:48,  15.12
10-000803a52f34, 2023-02-17 00:16:48,   4.56
10-000803a51c74, 2023-02-17 00:16:48,   8.81
10-000803bfc80e, 2023-02-17 00:16:48, -17.88
10-000803a2e2df, 2023-02-17 00:16:48, -17.50
10-000803a4ddd2, 2023-02-17 00:16:48,   3.06
10-000803a2eabb, 2023-02-17 00:16:48,   7.56
10-000803bfb3ec, 2023-02-17 00:21:56,   4.25
10-000803bfc27a, 2023-02-17 00:21:56,   6.44
28-01144fd84eaa, 2023-02-17 00:21:56,  15.38
10-000803a52f34, 2023-02-17 00:21:56,   4.56
10-000803a51c74, 2023-02-17 00:21:56,   9.00
10-000803bfc80e, 2023-02-17 00:21:56, -19.00
10-000803a2e2df, 2023-02-17 00:21:56, -18.56
10-000803a4ddd2, 2023-02-17 00:21:56,   3.06
10-000803a2eabb, 2023-02-17 00:21:56,   7.75
10-000803bfb3ec, 2023-02-17 00:27:04,   4.31
10-000803bfc27a, 2023-02-17 00:27:04,   6.44
28-01144fd84eaa, 2023-02-17 00:27:04,  15.56
10-000803a52f34, 2023-02-17 00:27:04,   4.56
10-000803a51c74, 2023-02-17 00:27:04,   9.06
10-000803bfc80e, 2023-02-17 00:27:04, -19.81
10-000803a2e2df, 2023-02-17 00:27:04, -19.12
10-000803a4ddd2, 2023-02-17 00:27:04,   3.06
10-000803a2eabb, 2023-02-17 00:27:04,   7.81
10-000803bfb3ec, 2023-02-17 00:32:12,   4.31
10-000803bfc27a, 2023-02-17 00:32:12,   4.25
28-01144fd84eaa, 2023-02-17 00:32:12,  15.12
10-000803a52f34, 2023-02-17 00:32:12,   4.62
10-000803a51c74, 2023-02-17 00:32:12,   5.19
10-000803bfc80e, 2023-02-17 00:32:12, -18.44
